symbol,lonaName,shortName,Acronym,Sector,Announced Date,Due Date,Distribution Date,Amount,Distribution Way
4335,Musharaka REIT Fund,MUSHARAKA REIT,MUSHARAKA REIT,REITs,2022-01-23,2022-01-27,2022-02-17,0.3,Account Transfer
4333,Taleem REIT Fund,TALEEM REIT,TALEEM REIT,REITs,2022-01-24,2022-01-26,2022-02-10,0.12,Account Transfer
4321,Arabian Centres Co.,CENOMI CENTERS,CENOMI CENTERS,"Real Estate Mgmt & Dev't",2022-01-24,2022-01-26,2022-02-14,0.75,Account Transfer
1180,The Saudi National Bank,SNB,SNB,Banks,2022-01-27,2022-04-17,2022-04-26,0.9,Account Transfer
4348,Alkhabeer REIT Fund,ALKHABEER REIT,ALKHABEER REIT,REITs,2022-01-31,2022-02-14,2022-03-24,0.125,Account Transfer
7200,Al Moammar Information Systems Co.,MIS,MIS,Software & Services,2022-01-31,2022-02-28,2022-03-14,1,Account Transfer
4340,Al Rajhi REIT Fund,Al RAJHI REIT,Al RAJHI REIT,REITs,2022-02-01,2022-02-08,2022-02-27,0.28,Account Transfer
1301,United Wire Factories Co.,ASLAK,ASLAK,Materials,2022-02-01,2022-02-10,2022-02-21,0.45,Account Transfer
3030,Saudi Cement Co.,SAUDI CEMENT,SAUDI CEMENT,Materials,2022-02-01,2022-04-10,2022-04-20,2,Account Transfer
2050,Savola Group,SAVOLA GROUP,SAVOLA GROUP,Food & Beverages,2022-02-01,2022-05-16,2022-06-06,0.2,Account Transfer
1020,Bank Aljazira,BJAZ,BJAZ,Banks,2022-02-07,2022-02-13,2022-02-21,0.35,Account Transfer
3040,Qassim Cement Co.,QACCO,QACCO,Materials,2022-02-08,2022-02-13,2022-03-02,0.6,Account Transfer
4338,AlAhli REIT Fund 1,ALAHLI REIT 1,ALAHLI REIT 1,REITs,2022-02-09,2022-02-15,2022-03-08,0.35,Account Transfer
4330,Riyad REIT Fund,RIYAD REIT,RIYAD REIT,REITs,2022-02-13,2022-03-24,2022-03-30,0.47,Account Transfer
1830,Leejam Sports Co.,FITNESS TIME,FITNESS TIME,Consumer Services,2022-02-13,2022-02-20,2022-03-03,0.87,Account Transfer
4001,Abdullah Al Othaim Markets Co.,A.OTHAIM MARKET,A.OTHAIM MARKET,Food & Staples Retailing,2022-02-15,2022-03-20,2022-03-30,2,Account Transfer
7202,Arabian Internet and Communications Services Co.,SOLUTIONS,SOLUTIONS,Software & Services,2022-02-15,2022-05-29,2022-06-15,4,Account Transfer
